Quel est votre niveau de satisfaction concernant votre CPAM;Que pourrait faire votre CPAM pour améliorer votre satisfaction globale?
Pas du tout satisfait;ce serait bien de pouvoir répondre aux messages des conseillers car souvent leurs réponses à mes demandes ne sont pas toujours pertinentes. ce serait bien aussi de pouvoir envoyer des documents par scan.  Vous vantez la prise de RDV avec un conseiller mais les motifs des RDV ne correspondent pas toujours à nos besoins. De plus, Il est très difficile de joindre un conseiller par téléphone
Très satisfait;Faciliter la récupération des identifiants et codes de connexion à l’application lorsqu’on était utilisateur et que le code secret est égaré. Une sécurité à deux facteurs pourrait être mise en place.
Assez satisfait;Diminuer le montant de la participation forfaitaire  Arreter de diminuer la part prise en compte par l'assurance maladie car cette part est alors prise en compte par ma mutuelle qui, du coup, augmente le montant de mes cotisations bien sûr..! ( ex: médicaments, dents, lunettes etc..)
Pas du tout satisfait;Être un peu plus vite dans le changement des informations personnelles
Assez satisfait;Si il y a un soucie ou autres je préfère par Apel téléphonique cordialement
Peu satisfait;La double authentification par mail est une catastrophe. Les mails mentionnent des liens vers la page d'accueil Améli, quel intérêt ? Newsletter non désirée de la CAF déclarée comme spam et à la rgpd
Assez satisfait;une information ciblée pour les seniors et surtout une information claire et lisible des actes de remboursements aux regards des actes ou fournitures.
Assez satisfait;Gagner en clarté et en transparence. On n'y comprend rien. Qu'est ce que la sécurité rembourse ? A 100%? Moins?
Assez satisfait;Proposer des solutions afin d ameliorer la vie du patient
Très satisfait;.
Assez satisfait;Le chgt de rib est compliqué
Très satisfait;Pas facile de trouver un point  CPAM physique à Saran et alentours!!!
Assez satisfait;Je ne suit pas satisfaite totalement parce que non seulement je n'est que 10 heures de travail à effectuer par semaine qui ne me permet pas de pouvoir payé mes factures et m'en sortir.Mais en plus de çà,pour le renouvellement de mon dossier CMU bascule pour un prélèvement mensuel de 37 euros. Je suis désolé mais c'est pour cette raison que je me suis exprimer ainsi merci et excellente journée à vous. Mme BEUGRE/EHOUMAN Djogbe Hélène.
Peu satisfait;Une vraie messagerie et la possibilité d'adresser des pièces jointes.
Assez satisfait;Ras
Très satisfait;pour mon cas, c'est parfait
Assez satisfait;Prévenir en cas de pb avec notre dossier  nous faire un retour de pk il.y à eu un pb afin que cela ne se reproduise pas si erreur de ma part
Pas du tout satisfait;"Suite à un AT j’ai eu une enquête; durée très longue sans versement d’indemnisation du tout;mon employeur a enlevé plus de 1000€ brut à mon salaire pourtant. Je reçois l’aval de la décision d’enquête et je dois encore attendre 2 mois sans argent… de qui se moque t on? 4 mois sans pouvoir récupérer les sommes enlevées à mon salaire d’un accident datant du mois d août ! C’est juste honteux"
Très satisfait;Je suis très satisfait
Assez satisfait;L'envoi de pièces jointes devraient permettre incontestablement d'accélérer le traitement des dossiers en cours. L'an passé, je crois, j'ai dû renvoyer pour une simple demande de cure par deux fois, et par la poste, un document qui était déjà dans les services. Les échanges via la messagerie sont parfois laborieux puisque l'interlocuteur n'est jamais le même. Parfois, cela devient lassant. De grâce, puisqu'on ne peut plus appeler ou être reçu sans rendez-vous, qu'il soit tenu compte des assurés plantés derrière leur ordinateur. Pourquoi dans un tel sondage, ne peut il être fait qu'une seule réponse. En fonction des situations, 2 réponses peuvent être possible. Tout n'est pas tout blanc ou tout noir !
Peu satisfait;Ne pas laisser les gens attendre plus de 1mois pour toucher leurs salaire surtout après.un accident de travail et de trajet heureusement que j avait de l'argent de côté délais beaucoup trop long
Très satisfait;Aucune
Peu satisfait;Pouvoir transmettre directement et plus simplement les documents à la CPAM par le site ameli Pourvoir prendre des rdv téléphonique, car impossible de voir les horaires disponible car plus de calendrier et aucune date !!!! Lors des RDV téléphonique, avoir un agence qui puisse répondre  tous genre de dossier et ne pas redonner un rdv téléphonique qui n'aura pas lieu. Pouvoir avoir un interlocuteur plus facilement en agence.
Peu satisfait;Mon dernier arrêt de travail il y a environ 9 mois m’a tellement mise en difficultés (paiement des indemnités journalières tardif et aucun interlocuteur au téléphone cv pour m’accompagner) que j’ai préféré travailler les deux dernières semaines courantes alors même que j’étais malade. Après on s’étonnera que les gens se retrouvent en incapacité d’aller jusqu’à leur retraite… je suis si fatigué que c’est probablement ce qui m’arrivera
Peu satisfait;Bjr j'attends toujours le remboursement de la visite chez POINT VISION pour la vue concernant mon épouse de 66.57 EUROS DU  28.09.2023 FEUILLE DE SOIS n)000270679.Mon epouse à payé par carte bleus aucun rembopursement ni de chez vous ni de la mutuelle  Cdlt a.beaumont.
Très satisfait;Pas de commentaire
Assez satisfait;Trouver un terrain d entente et de logique avec les complémentaires,  je vous avoue que c est compliqué quand on ne maîtrise pas mes subtilités administratives
Assez satisfait;Que une seule personne suive le dossier de A à Z. Ne pas être baladé de personnes en personnes qui donnent des réponses inapropriées au dossier engagé.  ACCIDENT en Aout, Immdémnisations enclenchée en Novembre car dès le début personne n'a était capable de me dire qu'il fallait tout simplement que j'apporte une année entière de fiches de salaires. afin de calculer mes imdemmnités. Seule la dernière personne du rv  a débloquer mon dossier. Merci à cette dame encore.
Très satisfait;Tout est parfait pour le moment
Assez satisfait;Un suivi des réponses mail avec possibilité de répondre à une réponse et donc de suivre si la réponse apportée est satisfaisante. Les questions par mail sont closes unilatéralement
Assez satisfait;Soins à l'étranger  :  - Répondre à la question posée sans dévier de l'objectif principal de la question, car vos réponses sont  trop d'ordre générales, de ce fait la question posée reste sans réponse.   Délais de remboursement de soins à l'étranger exorbitants, 1 an de délai, on ne demande pas à être malade !!!!!  Le dialogue écrit avec la Cpam n'est plus accessible directement, il faudrait pouvoir laisser un message directement sur notre compte Ameli sans avoir à passer par la boîte de dialogue.
Peu satisfait;Avoir plus de réactivité pour les demandes de remboursemenrs de transport.
Peu satisfait;Que l’on puisse envoyer des pièces jointes lorsqu’on écrit par le site Que l’on puisse écrire directement sans passer par le ROBOT
Très satisfait;Informer au plus vite si problème sur dossier ou si documents manquant plus d’information concernant l’invalidité et la prestation
Peu satisfait;Remettre la messagerie personnelle car le robot  ne sert à rien et C impossible d avoir quelqu'un  au téléphone pour des questions personnalisées.   Pour le remboursement  en question rien sur ameli et la chambre doit m envoyé  le duplicata du décompte ou est passé le vrai décompte.    Ou peut on voir les participations forfaitaire de l année ?????     En un mot tout le site se complique Comme pour la question suivante ( toutes les questions sont dirigees) donc jamais concernée par les questions réponses    pourquoi la messagerie perso à t elle disparue ???
Peu satisfait;Regarder correctement les dossiers pour le paiement des indemnités journalières. Pour ne pas avoir à appeler 40 fois et me soucier de mes paiements alors que je suis enceinte jusqu’aux os
